_id/$oid,bestsellers_date/$date/$numberLong,published_date/$date/$numberLong,amazon_product_url,author,description,price/$numberInt,publisher,title,rank/$numberInt,rank_last_week/$numberInt,weeks_on_list/$numberInt,price/$numberDouble
5b4aa4ead3089013507dd0aa,1452297600000,1453593600000,http://www.amazon.com/The-Bazaar-Bad-Dreams-Stories-ebook/dp/B00UDCI1AG?tag=NYTBS-20,Stephen King,"Twenty stories, some never before published.",0,Scribner,THE BAZAAR OF BAD DREAMS,8,5,10,
5b4aa4ead3089013507dd0ab,1452297600000,1453593600000,http://www.amazon.com/Go-Set-Watchman-A-Novel/dp/0062409859?tag=NYTBS-20,Harper Lee,"In the mid-1950s, a grown-up Jean Louise Finch returns home to find that her adored father is not as perfect as she believed.",0,Harper,GO SET A WATCHMAN,9,9,25,
5b4aa4ead3089013507dd0ac,1452297600000,1453593600000,http://www.amazon.com/Fates-Furies-Novel-Lauren-Groff/dp/1594634475?tag=NYTBS-20,Lauren Groff,A marriage viewed from two perspectives.,0,Riverhead,FATES AND FURIES,10,14,5,
5b4aa4ead3089013507dd0ad,1452297600000,1453593600000,http://www.amazon.com/The-Guest-Room-A-Novel-ebook/dp/B00VZZ07GG?tag=NYTBS-20,Chris Bohjalian,"A Westchester man’s life is upended when he hosts a bachelor party for his brother, at which the strippers, who turn out to be Russian sex slaves, kill their pimps.",0,Doubleday,THE GUEST ROOM,11,0,1,
5b4aa4ead3089013507dd0ae,1452297600000,1453593600000,http://www.amazon.com/The-Magic-Strings-Frankie-Presto/dp/0062294415?tag=NYTBS-20,Mitch Albom,A mystical tale of a guitar genius’s journey through 20th-century music.,0,Harper,THE MAGIC STRINGS OF FRANKIE PRESTO,12,10,9,
5b4aa4ead3089013507dd0af,1452297600000,1453593600000,http://www.amazon.com/Guilty-Will-Robie-David-Baldacci/dp/1455586439?tag=NYTBS-20,David Baldacci,The government hit man Will Robie investigates murder charges against his estranged father in their Mississippi hometown.,0,Grand Central,THE GUILTY,13,8,8,
5b4aa4ead3089013507dd0b0,1452297600000,1453593600000,http://www.amazon.com/Knight-Seven-Kingdoms-Song-Fire/dp/0345533488?tag=NYTBS-20,George R R Martin,A collection of three official prequels to “A Song of Ice and Fire.”,0,Bantam,A KNIGHT OF THE SEVEN KINGDOMS,14,16,10,
5b4aa4ead3089013507dd0b1,1452297600000,1453593600000,http://www.amazon.com/Ashley-Bell-Novel-Dean-Koontz-ebook/dp/B00VCZOKM6?tag=NYTBS-20,Dean Koontz,"A young Southern California writer who survived a fatal diagnosis sets out to find a woman she has been told she must save, overcoming many obstacles in the process.",0,Bantam,ASHLEY BELL,15,13,5,
5b4aa4ead3089013507dd0b2,1452297600000,1453593600000,http://www.amazon.com/Tom-Clancy-Commander-Chief-Novel/dp/0399176764?tag=NYTBS-20,Mark Greaney,"President Jack Ryan detects a pattern in outbreaks of violence around the world that point to the Russian president, but he must unite the Western allies before he can take action.",0,Putnam,TOM CLANCY: COMMANDER IN CHIEF,16,0,0,
5b4aa4ead3089013507dd0b3,1452297600000,1453593600000,http://www.amazon.com/The-Girl-Spiders-Web-continuing/dp/0385354282?tag=NYTBS-20,David Lagercrantz,Lisbeth Salander and Mikael Blomkvist are back in this continuation of Stieg Larsson's Millennium series.,0,Knopf,THE GIRL IN THE SPIDER'S WEB,17,0,0,
